gene	cat	obs
A1BG	0.0000e+00	193
A1BG	1.0000e+00	79
A1BG	2.0000e+00	36
A1BG	3.0000e+00	21
A1BG	4.0000e+00	10
A1BG	5.0000e+00	5
A1BG	6.0000e+00	2
A1BG	7.0000e+00	1
A1BG	8.0000e+00	1
A1BG	9.0000e+00	2
A1BG	1.7000e+01	1
A1CF	0.0000e+00	203
A1CF	1.0000e+00	77
A1CF	2.0000e+00	28
A1CF	3.0000e+00	15
A1CF	4.0000e+00	10
A1CF	5.0000e+00	1
A1CF	6.0000e+00	2
A1CF	7.0000e+00	1
A1CF	9.0000e+00	1
A1CF	1.0000e+01	1
A1CF	1.1000e+01	1
A2M	0.0000e+00	408
A2M	1.0000e+00	164
A2M	2.0000e+00	63
A2M	3.0000e+00	26
A2M	4.0000e+00	22
A2M	5.0000e+00	13
A2M	6.0000e+00	6
A2M	7.0000e+00	5
A2M	8.0000e+00	3
A2M	1.0000e+01	1
A2M	1.2000e+01	2
A2M	1.4000e+01	1
A2M	1.6000e+01	1
A2M	1.7000e+01	1
A2ML1	0.0000e+00	481
A2ML1	1.0000e+00	200
A2ML1	2.0000e+00	94
A2ML1	3.0000e+00	70
A2ML1	4.0000e+00	25
A2ML1	5.0000e+00	15
A2ML1	6.0000e+00	14
A2ML1	7.0000e+00	12
A2ML1	8.0000e+00	5
A2ML1	9.0000e+00	8
A2ML1	1.0000e+01	4
A2ML1	1.3000e+01	3
A2ML1	1.5000e+01	1
A2ML1	1.6000e+01	1
A2ML1	1.7000e+01	3
A3GALT2	0.0000e+00	95
A3GALT2	1.0000e+00	44
A3GALT2	2.0000e+00	39
A3GALT2	3.0000e+00	13
A3GALT2	4.0000e+00	6
A3GALT2	5.0000e+00	7
A3GALT2	6.0000e+00	2
A3GALT2	7.0000e+00	1
A3GALT2	8.0000e+00	6
A3GALT2	9.0000e+00	4
A3GALT2	1.1000e+01	1
A4GALT	0.0000e+00	129
A4GALT	1.0000e+00	77
A4GALT	2.0000e+00	34
A4GALT	3.0000e+00	11
A4GALT	4.0000e+00	5
A4GALT	5.0000e+00	6
A4GALT	6.0000e+00	1
A4GALT	8.0000e+00	1
A4GALT	9.0000e+00	2
A4GALT	1.6000e+01	1
A4GNT	0.0000e+00	107
A4GNT	1.0000e+00	43
A4GNT	2.0000e+00	23
A4GNT	3.0000e+00	8
A4GNT	4.0000e+00	4
A4GNT	5.0000e+00	3
A4GNT	6.0000e+00	4
A4GNT	7.0000e+00	1
A4GNT	8.0000e+00	2
A4GNT	9.0000e+00	3
A4GNT	1.2000e+01	1
A4GNT	1.7000e+01	1
AAAS	0.0000e+00	222
AAAS	1.0000e+00	76
AAAS	2.0000e+00	40
AAAS	3.0000e+00	22
AAAS	4.0000e+00	13
AAAS	5.0000e+00	9
AAAS	6.0000e+00	1
AAAS	7.0000e+00	2
AAAS	8.0000e+00	2
AAAS	1.0000e+01	1
AACS	0.0000e+00	254
AACS	1.0000e+00	102
AACS	2.0000e+00	55
AACS	3.0000e+00	50
AACS	4.0000e+00	24
AACS	5.0000e+00	11
AACS	6.0000e+00	2
AACS	7.0000e+00	4
AACS	8.0000e+00	3
AACS	9.0000e+00	1
AACS	1.3000e+01	1
AACS	1.5000e+01	1
AADAC	0.0000e+00	123
AADAC	1.0000e+00	45
AADAC	2.0000e+00	28
AADAC	3.0000e+00	14
AADAC	4.0000e+00	2
AADAC	5.0000e+00	6
AADAC	6.0000e+00	1
AADAC	7.0000e+00	1
AADAC	8.0000e+00	1
AADAC	9.0000e+00	3
AADAC	1.7000e+01	1
AADACL2	0.0000e+00	121
AADACL2	1.0000e+00	52
AADACL2	2.0000e+00	33
AADACL2	3.0000e+00	20
AADACL2	4.0000e+00	9
AADACL2	5.0000e+00	2
AADACL2	6.0000e+00	4
AADACL2	7.0000e+00	2
AADACL2	8.0000e+00	1
AADACL2	1.7000e+01	1
AADACL3	0.0000e+00	138
AADACL3	1.0000e+00	60
AADACL3	2.0000e+00	22
AADACL3	3.0000e+00	15
AADACL3	4.0000e+00	5
AADACL3	5.0000e+00	2
AADACL3	6.0000e+00	5
AADACL3	7.0000e+00	5
AADACL3	8.0000e+00	1
AADACL3	1.0000e+01	1
AADACL3	1.1000e+01	1
AADACL3	1.3000e+01	1
AADACL3	1.7000e+01	2
AADACL4	0.0000e+00	160
AADACL4	1.0000e+00	64
AADACL4	2.0000e+00	28
AADACL4	3.0000e+00	19
AADACL4	4.0000e+00	11
AADACL4	5.0000e+00	10
AADACL4	6.0000e+00	4
AADACL4	7.0000e+00	1
AADACL4	9.0000e+00	1
AADACL4	1.0000e+01	1
AADAT	0.0000e+00	97
AADAT	1.0000e+00	33
AADAT	2.0000e+00	11
AADAT	3.0000e+00	3
AADAT	4.0000e+00	1
AADAT	5.0000e+00	2
AADAT	1.0000e+01	1
AAED1	0.0000e+00	51
AAED1	1.0000e+00	16
AAED1	2.0000e+00	11
AAED1	3.0000e+00	7
AAED1	4.0000e+00	5
AAED1	5.0000e+00	4
AAED1	6.0000e+00	3
AAED1	7.0000e+00	2
AAED1	8.0000e+00	1
AAED1	1.1000e+01	1
AAGAB	0.0000e+00	124
AAGAB	1.0000e+00	60
AAGAB	2.0000e+00	18
AAGAB	3.0000e+00	10
AAGAB	4.0000e+00	5
AAGAB	5.0000e+00	4
AAGAB	6.0000e+00	5
AAGAB	7.0000e+00	1
AAGAB	8.0000e+00	1
AAGAB	1.6000e+01	1
AAK1	0.0000e+00	225
AAK1	1.0000e+00	80
AAK1	2.0000e+00	34
AAK1	3.0000e+00	12
AAK1	4.0000e+00	10
AAK1	5.0000e+00	10
AAK1	6.0000e+00	3
AAK1	8.0000e+00	3
AAK1	9.0000e+00	1
AAK1	1.0000e+01	1
AAK1	1.1000e+01	1
AAK1	1.2000e+01	1
AAK1	1.7000e+01	1
AAMDC	0.0000e+00	77
AAMDC	1.0000e+00	28
AAMDC	2.0000e+00	11
AAMDC	3.0000e+00	7
AAMDC	4.0000e+00	1
AAMDC	5.0000e+00	3
AAMDC	6.0000e+00	3
AAMDC	1.5000e+01	1
AAMDC	1.6000e+01	1
AAMP	0.0000e+00	128
AAMP	1.0000e+00	37
AAMP	2.0000e+00	17
AAMP	3.0000e+00	7
AAMP	4.0000e+00	5
AAMP	5.0000e+00	2
AAMP	6.0000e+00	2
AAMP	7.0000e+00	1
AAMP	8.0000e+00	2
AAMP	1.2000e+01	1
AANAT	0.0000e+00	75
AANAT	1.0000e+00	36
AANAT	2.0000e+00	21
AANAT	3.0000e+00	14
AANAT	4.0000e+00	13
AANAT	5.0000e+00	5
AANAT	6.0000e+00	2
AANAT	7.0000e+00	1
AANAT	8.0000e+00	1
AANAT	9.0000e+00	1
AANAT	1.0000e+01	1
AAR2	0.0000e+00	118
AAR2	1.0000e+00	60
AAR2	2.0000e+00	31
AAR2	3.0000e+00	9
AAR2	4.0000e+00	11
AAR2	5.0000e+00	10
AAR2	6.0000e+00	3
AAR2	7.0000e+00	4
AAR2	1.0000e+01	2
AARD	0.0000e+00	53
AARD	1.0000e+00	26
AARD	2.0000e+00	5
AARD	3.0000e+00	7
AARD	4.0000e+00	3
AARD	5.0000e+00	3
AARD	7.0000e+00	1
AARD	8.0000e+00	2
AARD	1.0000e+01	1
AARD	1.2000e+01	1
AARD	1.4000e+01	1
AARS	0.0000e+00	341
AARS	1.0000e+00	142
AARS	2.0000e+00	56
AARS	3.0000e+00	23
AARS	4.0000e+00	13
AARS	5.0000e+00	6
AARS	6.0000e+00	3
AARS	7.0000e+00	3
AARS	8.0000e+00	3
AARS	1.0000e+01	2
AARS	1.1000e+01	1
AARS	1.2000e+01	1
AARS2	0.0000e+00	329
AARS2	1.0000e+00	149
AARS2	2.0000e+00	71
AARS2	3.0000e+00	42
AARS2	4.0000e+00	17
AARS2	5.0000e+00	12
AARS2	6.0000e+00	5
AARS2	7.0000e+00	6
AARS2	8.0000e+00	2
AARS2	9.0000e+00	3
AARS2	1.0000e+01	3
AARS2	1.2000e+01	1
AARS2	1.7000e+01	1
AARSD1	0.0000e+00	7
AARSD1	1.0000e+00	2
AARSD1	4.0000e+00	1
AASDH	0.0000e+00	386
AASDH	1.0000e+00	139
AASDH	2.0000e+00	64
AASDH	3.0000e+00	31
AASDH	4.0000e+00	13
AASDH	5.0000e+00	7
AASDH	6.0000e+00	6
AASDH	7.0000e+00	6
AASDH	8.0000e+00	3
AASDH	9.0000e+00	3
AASDH	1.1000e+01	1
AASDH	1.2000e+01	1
AASDH	1.3000e+01	3
AASDH	1.5000e+01	2
AASDH	1.6000e+01	1
AASDHPPT	0.0000e+00	105
AASDHPPT	1.0000e+00	34
AASDHPPT	2.0000e+00	18
AASDHPPT	3.0000e+00	12
AASDHPPT	4.0000e+00	4
AASDHPPT	5.0000e+00	3
AASDHPPT	6.0000e+00	1
AASDHPPT	7.0000e+00	1
AASS	0.0000e+00	291
AASS	1.0000e+00	107
AASS	2.0000e+00	43
AASS	3.0000e+00	28
AASS	4.0000e+00	12
AASS	5.0000e+00	4
AASS	6.0000e+00	4
AASS	7.0000e+00	8
AASS	8.0000e+00	1
AASS	9.0000e+00	1
AATF	0.0000e+00	177
AATF	1.0000e+00	77
AATF	2.0000e+00	40
AATF	3.0000e+00	16
AATF	4.0000e+00	12
AATF	5.0000e+00	6
AATF	6.0000e+00	2
AATF	7.0000e+00	5
AATF	9.0000e+00	2
AATF	1.1000e+01	1
AATK	0.0000e+00	355
AATK	1.0000e+00	183
AATK	2.0000e+00	97
AATK	3.0000e+00	53
AATK	4.0000e+00	23
AATK	5.0000e+00	14
AATK	6.0000e+00	6
AATK	7.0000e+00	6
AATK	8.0000e+00	5
AATK	9.0000e+00	2
AATK	1.0000e+01	1
AATK	1.1000e+01	2
AATK	1.2000e+01	1
AATK	1.3000e+01	1
AATK	1.4000e+01	1
AATK	1.6000e+01	1
ABAT	0.0000e+00	180
ABAT	1.0000e+00	74
ABAT	2.0000e+00	36
ABAT	3.0000e+00	16
ABAT	4.0000e+00	9
ABAT	5.0000e+00	4
ABAT	6.0000e+00	2
ABAT	7.0000e+00	1
ABAT	9.0000e+00	2
ABAT	1.7000e+01	1
ABCA1	0.0000e+00	727
ABCA1	1.0000e+00	210
ABCA1	2.0000e+00	113
ABCA1	3.0000e+00	64
ABCA1	4.0000e+00	20
ABCA1	5.0000e+00	16
ABCA1	6.0000e+00	10
ABCA1	7.0000e+00	4
ABCA1	8.0000e+00	8
ABCA1	9.0000e+00	4
ABCA1	1.1000e+01	1
ABCA1	1.3000e+01	2
ABCA1	1.4000e+01	1
ABCA1	1.5000e+01	1
ABCA1	1.6000e+01	1
ABCA1	1.7000e+01	1
ABCA10	0.0000e+00	501
ABCA10	1.0000e+00	201
ABCA10	2.0000e+00	84
ABCA10	3.0000e+00	55
ABCA10	4.0000e+00	34
ABCA10	5.0000e+00	16
ABCA10	6.0000e+00	12
ABCA10	7.0000e+00	4
ABCA10	8.0000e+00	5
ABCA10	9.0000e+00	4
ABCA10	1.0000e+01	3
ABCA10	1.1000e+01	2
ABCA10	1.2000e+01	2
ABCA10	1.4000e+01	3
ABCA10	1.5000e+01	1
ABCA10	1.7000e+01	2
ABCA12	0.0000e+00	758
ABCA12	1.0000e+00	270
ABCA12	2.0000e+00	129
ABCA12	3.0000e+00	69
ABCA12	4.0000e+00	35
ABCA12	5.0000e+00	18
ABCA12	6.0000e+00	10
ABCA12	7.0000e+00	5
ABCA12	8.0000e+00	9
ABCA12	1.0000e+01	3
ABCA12	1.1000e+01	6
ABCA12	1.2000e+01	1
ABCA12	1.3000e+01	1
ABCA12	1.6000e+01	1
ABCA12	1.7000e+01	1
ABCA13	0.0000e+00	1682
ABCA13	1.0000e+00	642
ABCA13	2.0000e+00	313
ABCA13	3.0000e+00	164
ABCA13	4.0000e+00	102
ABCA13	5.0000e+00	56
ABCA13	6.0000e+00	25
ABCA13	7.0000e+00	21
ABCA13	8.0000e+00	14
ABCA13	9.0000e+00	12
ABCA13	1.0000e+01	12
ABCA13	1.1000e+01	16
ABCA13	1.2000e+01	1
ABCA13	1.3000e+01	5
ABCA13	1.4000e+01	2
ABCA13	1.5000e+01	5
ABCA13	1.6000e+01	2
ABCA13	1.7000e+01	3
ABCA2	0.0000e+00	515
ABCA2	1.0000e+00	287
ABCA2	2.0000e+00	134
ABCA2	3.0000e+00	65
ABCA2	4.0000e+00	46
ABCA2	5.0000e+00	13
ABCA2	6.0000e+00	7
ABCA2	7.0000e+00	7
ABCA2	8.0000e+00	4
ABCA2	9.0000e+00	2
ABCA2	1.0000e+01	1
ABCA2	1.1000e+01	1
ABCA2	1.3000e+01	1
ABCA2	1.7000e+01	1
ABCA3	0.0000e+00	520
ABCA3	1.0000e+00	235
ABCA3	2.0000e+00	140
ABCA3	3.0000e+00	64
ABCA3	4.0000e+00	35
ABCA3	5.0000e+00	23
ABCA3	6.0000e+00	18
ABCA3	7.0000e+00	5
ABCA3	8.0000e+00	7
ABCA3	9.0000e+00	2
ABCA3	1.0000e+01	3
ABCA4	0.0000e+00	790
ABCA4	1.0000e+00	314
ABCA4	2.0000e+00	178
ABCA4	3.0000e+00	84
ABCA4	4.0000e+00	60
ABCA4	5.0000e+00	37
ABCA4	6.0000e+00	15
ABCA4	7.0000e+00	10
ABCA4	8.0000e+00	14
ABCA4	9.0000e+00	7
ABCA4	1.0000e+01	6
ABCA4	1.1000e+01	1
ABCA4	1.2000e+01	2
ABCA4	1.3000e+01	2
ABCA4	1.4000e+01	1
ABCA4	1.5000e+01	1
ABCA5	0.0000e+00	486
ABCA5	1.0000e+00	190
ABCA5	2.0000e+00	85
ABCA5	3.0000e+00	42
ABCA5	4.0000e+00	31
ABCA5	5.0000e+00	8
ABCA5	6.0000e+00	13
ABCA5	7.0000e+00	6
ABCA5	8.0000e+00	1
ABCA5	9.0000e+00	2
ABCA5	1.0000e+01	2
ABCA5	1.4000e+01	1
ABCA5	1.5000e+01	1
ABCA5	1.6000e+01	1
ABCA5	1.7000e+01	1
ABCA6	0.0000e+00	526
ABCA6	1.0000e+00	209
ABCA6	2.0000e+00	103
ABCA6	3.0000e+00	48
ABCA6	4.0000e+00	39
ABCA6	5.0000e+00	16
ABCA6	6.0000e+00	13
ABCA6	7.0000e+00	9
ABCA6	8.0000e+00	1
ABCA6	9.0000e+00	1
ABCA6	1.0000e+01	1
ABCA6	1.1000e+01	1
ABCA6	1.4000e+01	2
ABCA6	1.7000e+01	3
ABCA7	0.0000e+00	872
ABCA7	1.0000e+00	404
ABCA7	2.0000e+00	209
ABCA7	3.0000e+00	123
ABCA7	4.0000e+00	56
ABCA7	5.0000e+00	52
ABCA7	6.0000e+00	18
ABCA7	7.0000e+00	11
ABCA7	8.0000e+00	7
ABCA7	9.0000e+00	4
ABCA7	1.0000e+01	2
ABCA7	1.1000e+01	2
ABCA7	1.2000e+01	1
ABCA7	1.3000e+01	6
ABCA7	1.4000e+01	1
ABCA7	1.6000e+01	3
ABCA7	1.7000e+01	1
ABCA8	0.0000e+00	554
ABCA8	1.0000e+00	204
ABCA8	2.0000e+00	95
ABCA8	3.0000e+00	59
ABCA8	4.0000e+00	32
ABCA8	5.0000e+00	19
ABCA8	6.0000e+00	13
ABCA8	7.0000e+00	13
ABCA8	8.0000e+00	8
ABCA8	9.0000e+00	3
ABCA8	1.0000e+01	2
ABCA8	1.1000e+01	2
ABCA8	1.2000e+01	2
ABCA8	1.3000e+01	2
ABCA9	0.0000e+00	511
ABCA9	1.0000e+00	209
ABCA9	2.0000e+00	88
ABCA9	3.0000e+00	46
ABCA9	4.0000e+00	33
ABCA9	5.0000e+00	14
ABCA9	6.0000e+00	8
ABCA9	7.0000e+00	7
ABCA9	8.0000e+00	3
ABCA9	9.0000e+00	1
ABCA9	1.0000e+01	3
ABCA9	1.1000e+01	1
ABCA9	1.3000e+01	2
ABCA9	1.7000e+01	2
ABCB1	0.0000e+00	351
ABCB1	1.0000e+00	132
ABCB1	2.0000e+00	51
ABCB1	3.0000e+00	40
ABCB1	4.0000e+00	18
ABCB1	5.0000e+00	10
ABCB1	6.0000e+00	7
ABCB1	7.0000e+00	2
ABCB1	9.0000e+00	2
ABCB1	1.0000e+01	3
ABCB1	1.2000e+01	1
ABCB1	1.3000e+01	1
ABCB1	1.4000e+01	1
ABCB1	1.7000e+01	1
ABCB10	0.0000e+00	170
ABCB10	1.0000e+00	79
ABCB10	2.0000e+00	39
ABCB10	3.0000e+00	17
ABCB10	4.0000e+00	8
ABCB10	5.0000e+00	2
ABCB10	6.0000e+00	2
ABCB10	7.0000e+00	2
ABCB10	8.0000e+00	2
ABCB10	9.0000e+00	1
ABCB10	1.0000e+01	1
ABCB10	1.2000e+01	1
ABCB11	0.0000e+00	385
ABCB11	1.0000e+00	153
ABCB11	2.0000e+00	63
ABCB11	3.0000e+00	32
ABCB11	4.0000e+00	20
ABCB11	5.0000e+00	13
ABCB11	6.0000e+00	7
ABCB11	7.0000e+00	5
ABCB11	8.0000e+00	2
ABCB11	9.0000e+00	2
ABCB11	1.1000e+01	1
ABCB11	1.2000e+01	1
ABCB11	1.7000e+01	1
ABCB4	0.0000e+00	360
ABCB4	1.0000e+00	118
ABCB4	2.0000e+00	50
ABCB4	3.0000e+00	29
ABCB4	4.0000e+00	16
ABCB4	5.0000e+00	5
ABCB4	6.0000e+00	5
ABCB4	7.0000e+00	5
ABCB4	8.0000e+00	1
ABCB4	9.0000e+00	1
ABCB4	1.0000e+01	2
ABCB4	1.1000e+01	1
ABCB4	1.4000e+01	1
ABCB5	0.0000e+00	489
ABCB5	1.0000e+00	210
ABCB5	2.0000e+00	107
ABCB5	3.0000e+00	47
ABCB5	4.0000e+00	38
ABCB5	5.0000e+00	24
ABCB5	6.0000e+00	17
ABCB5	7.0000e+00	9
ABCB5	8.0000e+00	5
ABCB5	9.0000e+00	2
ABCB5	1.0000e+01	1
ABCB5	1.1000e+01	4
ABCB5	1.2000e+01	1
ABCB5	1.3000e+01	2
ABCB5	1.4000e+01	3
ABCB5	1.6000e+01	2
ABCB5	1.7000e+01	1
ABCB6	0.0000e+00	313
ABCB6	1.0000e+00	138
ABCB6	2.0000e+00	66
ABCB6	3.0000e+00	34
ABCB6	4.0000e+00	19
ABCB6	5.0000e+00	16
ABCB6	6.0000e+00	6
ABCB6	7.0000e+00	2
ABCB6	8.0000e+00	1
ABCB6	9.0000e+00	2
ABCB6	1.0000e+01	5
ABCB6	1.1000e+01	1
ABCB7	0.0000e+00	87
ABCB7	1.0000e+00	31
ABCB7	2.0000e+00	10
ABCB7	3.0000e+00	10
ABCB7	4.0000e+00	3
ABCB7	5.0000e+00	4
ABCB7	6.0000e+00	3
ABCB7	7.0000e+00	2
ABCB7	8.0000e+00	1
ABCB7	1.0000e+01	1
ABCB7	1.2000e+01	1
ABCB8	0.0000e+00	281
ABCB8	1.0000e+00	144
ABCB8	2.0000e+00	77
ABCB8	3.0000e+00	40
ABCB8	4.0000e+00	17
ABCB8	5.0000e+00	12
ABCB8	6.0000e+00	6
ABCB8	7.0000e+00	2
ABCB8	8.0000e+00	2
ABCB8	1.0000e+01	3
ABCB8	1.3000e+01	4
ABCB8	1.5000e+01	1
ABCB9	0.0000e+00	225
ABCB9	1.0000e+00	129
ABCB9	2.0000e+00	65
ABCB9	3.0000e+00	37
ABCB9	4.0000e+00	15
ABCB9	5.0000e+00	6
ABCB9	6.0000e+00	4
ABCB9	8.0000e+00	1
ABCB9	1.1000e+01	1
ABCC1	0.0000e+00	458
ABCC1	1.0000e+00	195
ABCC1	2.0000e+00	94
ABCC1	3.0000e+00	38
ABCC1	4.0000e+00	19
ABCC1	5.0000e+00	21
ABCC1	6.0000e+00	11
ABCC1	7.0000e+00	3
ABCC1	8.0000e+00	6
ABCC1	9.0000e+00	1
ABCC1	1.1000e+01	1
ABCC1	1.2000e+01	1
ABCC1	1.3000e+01	1
ABCC10	0.0000e+00	463
ABCC10	1.0000e+00	234
ABCC10	2.0000e+00	120
ABCC10	3.0000e+00	54
ABCC10	4.0000e+00	44
ABCC10	5.0000e+00	15
ABCC10	6.0000e+00	16
ABCC10	7.0000e+00	5
ABCC10	8.0000e+00	3
ABCC10	9.0000e+00	5
ABCC10	1.2000e+01	1
ABCC10	1.5000e+01	1
ABCC11	0.0000e+00	482
ABCC11	1.0000e+00	178
ABCC11	2.0000e+00	113
ABCC11	3.0000e+00	75
ABCC11	4.0000e+00	30
ABCC11	5.0000e+00	16
ABCC11	6.0000e+00	15
ABCC11	7.0000e+00	8
ABCC11	8.0000e+00	7
ABCC11	9.0000e+00	7
ABCC11	1.0000e+01	2
ABCC11	1.1000e+01	1
ABCC11	1.3000e+01	2
ABCC11	1.4000e+01	3
ABCC11	1.5000e+01	2
ABCC12	0.0000e+00	507
ABCC12	1.0000e+00	180
ABCC12	2.0000e+00	115
ABCC12	3.0000e+00	69
ABCC12	4.0000e+00	28
ABCC12	5.0000e+00	17
ABCC12	6.0000e+00	13
ABCC12	7.0000e+00	6
ABCC12	8.0000e+00	3
ABCC12	9.0000e+00	7
ABCC12	1.0000e+01	3
ABCC12	1.1000e+01	5
ABCC12	1.2000e+01	2
ABCC12	1.4000e+01	1
ABCC12	1.7000e+01	1
ABCC2	0.0000e+00	554
ABCC2	1.0000e+00	186
ABCC2	2.0000e+00	126
ABCC2	3.0000e+00	66
ABCC2	4.0000e+00	41
ABCC2	5.0000e+00	13
ABCC2	6.0000e+00	15
ABCC2	7.0000e+00	6
ABCC2	8.0000e+00	2
ABCC2	9.0000e+00	4
ABCC2	1.0000e+01	4
ABCC2	1.1000e+01	1
ABCC2	1.3000e+01	2
ABCC2	1.5000e+01	1
ABCC2	1.7000e+01	1
ABCC3	0.0000e+00	507
ABCC3	1.0000e+00	222
ABCC3	2.0000e+00	113
ABCC3	3.0000e+00	66
ABCC3	4.0000e+00	33
ABCC3	5.0000e+00	20
ABCC3	6.0000e+00	13
ABCC3	7.0000e+00	7
ABCC3	8.0000e+00	4
ABCC3	9.0000e+00	4
ABCC3	1.0000e+01	4
ABCC3	1.3000e+01	1
ABCC3	1.5000e+01	1
ABCC3	1.6000e+01	1
ABCC4	0.0000e+00	367
ABCC4	1.0000e+00	139
ABCC4	2.0000e+00	73
ABCC4	3.0000e+00	29
ABCC4	4.0000e+00	23
ABCC4	5.0000e+00	8
ABCC4	6.0000e+00	9
ABCC4	7.0000e+00	4
ABCC4	8.0000e+00	2
ABCC4	9.0000e+00	1
ABCC4	1.0000e+01	3
ABCC4	1.1000e+01	1
ABCC4	1.2000e+01	1
ABCC4	1.3000e+01	1
ABCC4	1.4000e+01	1
ABCC5	0.0000e+00	356
ABCC5	1.0000e+00	151
ABCC5	2.0000e+00	57
ABCC5	3.0000e+00	18
ABCC5	4.0000e+00	15
ABCC5	5.0000e+00	6
ABCC5	6.0000e+00	3
ABCC5	7.0000e+00	1
ABCC5	8.0000e+00	1
ABCC5	9.0000e+00	1
ABCC6	0.0000e+00	526
ABCC6	1.0000e+00	224
ABCC6	2.0000e+00	142
ABCC6	3.0000e+00	83
ABCC6	4.0000e+00	37
ABCC6	5.0000e+00	20
ABCC6	6.0000e+00	14
ABCC6	7.0000e+00	5
ABCC6	8.0000e+00	6
ABCC6	9.0000e+00	1
ABCC6	1.0000e+01	3
ABCC6	1.1000e+01	2
ABCC6	1.2000e+01	2
ABCC6	1.3000e+01	1
ABCC6	1.5000e+01	1
ABCC6	1.6000e+01	2
ABCC6	1.7000e+01	1
ABCC8	0.0000e+00	460
ABCC8	1.0000e+00	186
ABCC8	2.0000e+00	95
ABCC8	3.0000e+00	38
ABCC8	4.0000e+00	20
ABCC8	5.0000e+00	13
ABCC8	6.0000e+00	5
ABCC8	7.0000e+00	6
ABCC8	1.1000e+01	1
ABCC8	1.3000e+01	1
ABCC8	1.7000e+01	1
ABCC9	0.0000e+00	376
ABCC9	1.0000e+00	85
ABCC9	2.0000e+00	50
ABCC9	3.0000e+00	21
ABCC9	4.0000e+00	12
ABCC9	5.0000e+00	4
ABCC9	7.0000e+00	2
ABCC9	8.0000e+00	2
ABCC9	9.0000e+00	1
ABCC9	1.0000e+01	1
ABCD1	0.0000e+00	157
ABCD1	1.0000e+00	68
ABCD1	2.0000e+00	38
ABCD1	3.0000e+00	12
ABCD1	4.0000e+00	7
ABCD1	5.0000e+00	3
ABCD1	6.0000e+00	2
ABCD1	7.0000e+00	3
ABCD2	0.0000e+00	187
ABCD2	1.0000e+00	58
ABCD2	2.0000e+00	19
ABCD2	3.0000e+00	15
ABCD2	4.0000e+00	7
ABCD2	5.0000e+00	2
ABCD2	6.0000e+00	1
ABCD2	7.0000e+00	2
ABCD2	8.0000e+00	1
ABCD2	1.1000e+01	1
ABCD3	0.0000e+00	146
ABCD3	1.0000e+00	74
ABCD3	2.0000e+00	24
ABCD3	3.0000e+00	13
ABCD3	4.0000e+00	4
ABCD3	5.0000e+00	2
ABCD3	6.0000e+00	1
ABCD3	1.0000e+01	1
ABCD4	0.0000e+00	232
ABCD4	1.0000e+00	108
ABCD4	2.0000e+00	68
ABCD4	3.0000e+00	30
ABCD4	4.0000e+00	12
ABCD4	5.0000e+00	5
ABCD4	6.0000e+00	1
ABCD4	7.0000e+00	3
ABCD4	8.0000e+00	3
ABCD4	9.0000e+00	1
ABCD4	1.0000e+01	2
ABCD4	1.1000e+01	2
ABCD4	1.2000e+01	5
ABCD4	1.6000e+01	2
ABCE1	0.0000e+00	83
ABCE1	1.0000e+00	28
ABCE1	2.0000e+00	11
ABCE1	3.0000e+00	1
ABCF1	0.0000e+00	212
ABCF1	1.0000e+00	84
ABCF1	2.0000e+00	39
ABCF1	3.0000e+00	19
ABCF1	4.0000e+00	16
ABCF1	5.0000e+00	1
ABCF1	6.0000e+00	2
ABCF1	8.0000e+00	3
ABCF1	1.0000e+01	1
ABCF1	1.7000e+01	1
ABCF2	0.0000e+00	169
ABCF2	1.0000e+00	47
ABCF2	2.0000e+00	21
ABCF2	3.0000e+00	7
ABCF2	4.0000e+00	6
ABCF2	9.0000e+00	2
ABCF2	1.0000e+01	1
ABCF3	0.0000e+00	216
ABCF3	1.0000e+00	99
ABCF3	2.0000e+00	43
ABCF3	3.0000e+00	30
ABCF3	4.0000e+00	10
ABCF3	5.0000e+00	8
ABCF3	6.0000e+00	4
ABCF3	7.0000e+00	3
ABCF3	8.0000e+00	1
ABCF3	9.0000e+00	1
ABCF3	1.0000e+01	1
ABCF3	1.2000e+01	1
ABCG1	0.0000e+00	272
ABCG1	1.0000e+00	95
ABCG1	2.0000e+00	44
ABCG1	3.0000e+00	23
ABCG1	4.0000e+00	19
ABCG1	5.0000e+00	7
ABCG1	6.0000e+00	2
ABCG1	7.0000e+00	2
ABCG1	1.1000e+01	1
ABCG1	1.4000e+01	2
ABCG2	0.0000e+00	299
ABCG2	1.0000e+00	110
ABCG2	2.0000e+00	56
ABCG2	3.0000e+00	28
ABCG2	4.0000e+00	18
ABCG2	5.0000e+00	7
ABCG2	6.0000e+00	6
ABCG2	7.0000e+00	3
ABCG2	8.0000e+00	2
ABCG2	9.0000e+00	1
ABCG2	1.0000e+01	1
ABCG2	1.4000e+01	2
ABCG4	0.0000e+00	189
ABCG4	1.0000e+00	74
ABCG4	2.0000e+00	36
ABCG4	3.0000e+00	24
ABCG4	4.0000e+00	7
ABCG4	5.0000e+00	2
ABCG4	6.0000e+00	1
ABCG4	7.0000e+00	2
ABCG4	9.0000e+00	1
ABCG4	1.0000e+01	1
ABCG4	1.1000e+01	2
ABCG4	1.2000e+01	1
ABCG5	0.0000e+00	253
ABCG5	1.0000e+00	90
ABCG5	2.0000e+00	55
ABCG5	3.0000e+00	32
ABCG5	4.0000e+00	18
ABCG5	5.0000e+00	9
ABCG5	6.0000e+00	5
ABCG5	7.0000e+00	3
